Field, Start, End, Length
as_of_date,1,4,4
responded_id,5,14,10
agency_code,15,15,1
type_of_loan,16,16,1
purpose_of_loan,17,17,1
occupancy,18,18,1
amount_of_loan,19,23,5
type_of_action_taken,24,24,1
msa/md,25,29,5
state_code,30,31,2
county_code,32,34,3
census_tract,35,41,7
applicant_sex,42,42,1
co_applicant_sex,43,43,1
applicant_income,44,47,4
purchaser_type,48,48,1
denial_reason_1,49,49,1
denial_reason_2,50,50,1
denial_reason_3,51,51,1
edit_status,52,52,1
property_type,53,53,1
preapprovals,54,54,1
applicant_ethnicity,55,55,1
co_applicant_ethnicity,56,56,1
applicant_race_1,57,57,1
applicant_race_2,58,58,1
applicant_race_3,59,59,1
applicant_race_4,60,60,1
applicant_race_5,61,61,1
co_applicant_race_1,62,62,1
co_applicant_race_2,63,63,1
co_applicant_race_3,64,64,1
co_applicant_race_4,65,65,1
co_applicant_race_5,66,66,1
rate_spread,67,71,5
hoepa_status,72,72,1
lien_status,73,73,1
sequence_number,74,80,7
